Source,Target,Type,Affordance,Description
3,33,Directed,Encourage,"Legal Team advises families of surrogates on legal rights related to surrogacy agreements, ensuring informed decision-making."
3,35,Directed,Demand,"Legal Team demands media portray surrogatesÕ rights accurately, emphasizing ethical standards in all surrogacy contracts."
3,39,Directed,Encourage,Legal Team supports IVF technology by drafting contracts that address IVF-related risks and responsibilities for clients and surrogates.
3,39,Directed,Request,Legal Team updates surrogacy contracts to reflect evolving IVF technology risks and surrogate protections.
4,1,Directed,Encourage,"Administrative Staff facilitates communication between BioTexCom departments, supporting efficient clinic operations."
4,3,Directed,Encourage,"Administrative Staff supports Legal Team by providing accurate surrogate data, aiding in ethical contract drafting."
4,5,Directed,Encourage,"Administrative Staff supports Marketing by providing operational data for client outreach, helping to manage clinic visibility. / Administrative Staff facilitates Marketing operations by providing logistical support, ensuring coordinated promotional efforts."
4,7,Directed,Encourage,"Administrative Staff encourages surrogate networks to establish communication channels for family updates, ensuring support."
4,7,Directed,Request,Administrative Staff requests surrogate network maintain accurate scheduling to avoid disruptions.
4,12,Directed,Allow,"Administrative Staff allows NGOs to observe clinic operations, maintaining transparency in administrative processes. / Administrative Staff permits NGOs limited access to clinic logistics, supporting operational transparency."
4,14,Directed,Allow,"Administrative Staff permits Human Rights Watch access to operational records, increasing clinic accountability."
4,16,Directed,Allow,Administrative Staff coordinates with Tourism Agencies to ensure that clients receive accurate information about the surrogacy process.
4,16,Directed,Encourage,"Administrative Staff facilitates Tourism AgenciesÕ arrangements by coordinating clinic tours for international clients. / Administrative Staff assists Tourism Agencies in organizing surrogacy informational events, promoting ethical tourism."
4,17,Directed,Encourage,Administrative Staff supports IVF Travel by coordinating schedules and resources for smooth clinic tours.
4,18,Directed,Allow,"Administrative Staff collaborates with Tammuz Family to streamline client communication, facilitating smoother transactions."
4,20,Directed,Allow,"Administrative Staff permits Local Authorities to audit clinic records, ensuring accountability in surrogacy operations."
4,21,Directed,Encourage,"Administrative Staff assists Health Ministry by maintaining accurate health records, aiding in the monitoring of surrogate health standards."
4,25,Directed,Encourage,Administrative Staff supports UNCRC guidelines by organizing record-keeping for surrogate-related child welfare cases.
4,26,Directed,Allow,"Administrative Staff allows media limited access to surrogacy statistics, maintaining transparency while respecting privacy."
4,29,Directed,Encourage,Administrative Staff encourages Intended Parents to attend clinic tours for a clearer understanding of the process.
4,33,Directed,Allow,"Administrative Staff allows families of surrogates access to visit schedules, ensuring family support during contracts."
4,33,Directed,Request,"Administrative Staff requests families of surrogates adhere to visitation guidelines, maintaining a supportive environment."
4,39,Directed,Allow,"Administrative Staff coordinates IVF schedules, ensuring proper timing and availability for all related procedures. / Administrative Staff organizes IVF-related logistics, coordinating between medical teams and clients."
4,39,Directed,Encourage,"Administrative Staff supports IVF procedures by coordinating staff schedules, ensuring smooth clinic operations. / Administrative Staff supports IVF procedures by handling documentation efficiently, aiding in seamless operational flow."
5,1,Directed,Demand,"Marketing Team demands BioTexCom update facilities to align with advertised quality and safety standards, ensuring brand consistency."
5,1,Directed,Encourage,"Marketing Team supports BioTexCom Clinic by promoting its ethical practices in surrogacy, attracting global clients."
5,7,Directed,Encourage,"Marketing Team encourages surrogate network members to share positive testimonials for public outreach campaigns. / Marketing Team supports surrogate networks by promoting surrogates' stories, enhancing transparency and empathy in marketing."
5,8,Directed,Encourage,"Marketing Team highlights experienced surrogates' testimonials in promotional materials, building trust with clients. / Marketing Team highlights stories of experienced surrogates to attract clients, showcasing surrogate expertise and resilience."
5,14,Directed,Encourage,"Marketing Team promotes Human Rights WatchÕs findings on ethical surrogacy, enhancing BioTexComÕs image as a responsible provider."
5,16,Directed,Request,Marketing Team requests Tourism Agencies coordinate promotional efforts with the clinicÕs messaging.
5,17,Directed,Encourage,"Marketing Team facilitates IVF Travel by promoting travel packages designed for surrogacy clients, encouraging global reach. / Marketing Team promotes IVF Travel services as part of BioTexComÕs comprehensive client care package."
5,18,Directed,Encourage,Marketing Team supports Tammuz FamilyÕs international efforts by providing branded materials.
5,19,Directed,Encourage,"Marketing Team encourages Egg Donor & Surrogacy Institute to share donor stories, providing a human touch to promotional content."
5,20,Directed,Request,"Marketing Team requests Local Authorities support surrogate protection initiatives, promoting community trust."
5,22,Directed,Request,"Marketing Team requests Family Law Code allow representation of surrogate welfare in advertising, reflecting client interests."
5,26,Directed,Allow,"Marketing Team collaborates with media outlets to promote IVF success stories, shaping positive public opinion."
5,29,Directed,Allow,"Marketing Team allows Intended Parents network to provide feedback on marketing materials, ensuring sensitive messaging."
5,35,Directed,Allow,"Marketing Team allows media to interview select clinic staff, promoting transparency around BioTexCom's operations."
5,35,Directed,Request,"Marketing Team requests media feature surrogacy stories that focus on ethical successes, improving public trust."
5,39,Directed,Encourage,"Marketing Team encourages the use of IVF technology in promotional content, showcasing it as a reliable pathway to parenthood. / Marketing Team showcases IVF technologyÕs role in successful surrogacy, emphasizing scientific advancements."
6,1,Directed,Encourage,"Support Staff supports BioTexCom by assisting with logistics during peak seasons, facilitating smoother operations."
6,7,Directed,Encourage,"Support Staff encourages surrogate network participation in wellness programs, promoting health maintenance."
6,17,Directed,Request,"Support Staff requests IVF Travel provide clear schedules, aiding in clinic coordination for client visits."
6,19,Directed,Encourage,Support Staff supports Egg Donor & Surrogacy Institute by assisting with donor coordination.
6,33,Directed,Allow,"Support Staff allows surrogate families access to support resources, enhancing family care for surrogates."
7,4,Directed,Encourage,Surrogate network facilitates communication with Administrative Staff to ensure timely updates on surrogate schedules.
7,5,Directed,Demand,"Surrogate network demands Marketing represent surrogates' voices accurately, avoiding exaggerated promotional content."
7,8,Directed,Encourage,Surrogate network supports experienced surrogates by providing a collaborative environment for sharing experiences.
7,12,Directed,Allow,"Surrogate network collaborates with NGOs to advocate for surrogate rights, fostering a supportive community. / Surrogate network partners with NGOs to advocate for surrogate welfare, pooling resources to support health and legal rights."
7,12,Directed,Encourage,Surrogate network encourages NGOs to provide educational resources for surrogates on contract rights.
7,16,Directed,Encourage,"Surrogate network facilitates tourism collaborations, welcoming international clients with organized surrogate support."
7,16,Directed,Request,"Surrogate network recommends Tourism Agencies provide clear information on surrogate rights, improving client understanding."
7,18,Directed,Allow,"Surrogate network allows Tammuz Family to access feedback for improving international surrogacy services. / Surrogate network allows Tammuz Family to gather feedback on surrogate support needs, helping refine service offerings."
7,19,Directed,Request,Surrogate network requests Egg Donor & Surrogacy Institute ensure ethical treatment of egg donors within surrogacy.
7,21,Directed,Demand,"Surrogate network demands Health Ministry enforce mental health support requirements, addressing emotional impacts of surrogacy. / Surrogate network demands Health Ministry ensure that surrogates have access to comprehensive healthcare support."
7,22,Directed,Demand,Surrogate network demands Family Law Code strengthen legal rights for surrogates.
7,22,Directed,Encourage,Surrogate network advocates for Family Law Code to incorporate modern IVF technology-related protections for surrogates.
7,22,Directed,Request,"Surrogate network suggests Family Law Code recognize the unique needs of surrogates, adding specific protections."
7,25,Directed,Allow,Surrogate network partners with UNCRC to advocate for child welfare standards in surrogacy arrangements.
7,27,Directed,Request,"Surrogate network requests ECHRÕs advocacy for clearer international surrogacy laws, helping protect surrogate rights."
7,33,Directed,Demand,"Surrogate network demands families of surrogates support them with childcare resources, recognizing extended family dynamics."
7,33,Directed,Encourage,Surrogate network supports families of surrogates by offering resources for managing the emotional aspects of the surrogacy process.
7,35,Directed,Request,"Surrogate network requests media cover issues related to surrogate autonomy, addressing public misconceptions."
7,39,Directed,Demand,Surrogate network demands that IVF technology providers offer comprehensive health check-ups pre- and post-IVF.
7,39,Directed,Encourage,"Surrogate network educates surrogates on the medical aspects of IVF, empowering them with knowledge about potential risks and outcomes."
7,39,Directed,Request,"Surrogate network requests IVF clinics provide surrogates with information on the medical risks associated with IVF procedures. / Surrogate network requests IVF clinics provide surrogates with detailed health protocols, prioritizing informed consent."
8,3,Directed,Request,Experienced surrogates request Legal Team simplify contract language for better understanding of rights and obligations.
8,12,Directed,Request,"Experienced surrogates request NGO support for mental health initiatives, acknowledging the psychological toll of repeated surrogacy contracts."
8,14,Directed,Request,"Experienced surrogates inform Human Rights Watch about the emotional challenges of repeat IVF, providing firsthand insights."
8,22,Directed,Encourage,"Experienced surrogates encourage Family Law Code updates to reflect protections for experienced surrogates, particularly those involved in multiple contracts."
8,22,Directed,Request,"Experienced surrogates request Family Law Code update to reflect modern surrogacy practices, ensuring current protections."
8,25,Directed,Request,Experienced surrogates request that UNCRC provide guidelines on surrogate protection within international child welfare.
8,26,Directed,Allow,"Experienced surrogates collaborate with media to share nuanced perspectives, illustrating the reality of surrogacy experiences."
8,26,Directed,Encourage,"Experienced surrogates advocate through media for fairer treatment, sharing stories about the demands of IVF."
8,35,Directed,Encourage,Experienced surrogates advocate through media for better physical and mental health support systems.
8,39,Directed,Allow,"Experienced surrogates allow IVF technology integration, accepting the physical implications as part of the surrogacy process."
8,39,Directed,Request,"Experienced surrogates request additional health support from IVF providers, due to repeated procedural demands."
9,3,Directed,Encourage,Conflict Resilient Surrogates uses Encourage affordance towards Legal and Compliance Team regarding surrogacy and related regulations.
9,6,Directed,Demand,Conflict Resilient Surrogates uses Demand affordance towards Limited Support Staff regarding surrogacy and related regulations.
9,13,Directed,Discourage,Conflict Resilient Surrogates uses Discourage affordance towards La Strada Ukraine regarding surrogacy and related regulations.
9,19,Directed,Encourage,Conflict Resilient Surrogates uses Encourage affordance towards Egg Donor & Surrogacy Institute regarding surrogacy and related regulations.
9,20,Directed,Refuse,Conflict Resilient Surrogates uses Refuse affordance towards Ukrainian Legal Frameworks regarding surrogacy and related regulations.
9,21,Directed,Request,Conflict Resilient Surrogates uses Request affordance towards Health Ministry Regulations regarding surrogacy and related regulations.
9,22,Directed,Demand,Conflict Resilient Surrogates uses Demand affordance towards Family Law Code regarding surrogacy and related regulations.
9,31,Directed,Request,Conflict Resilient Surrogates uses Request affordance towards Heterosexual Couples regarding surrogacy and related regulations.
10,39,Directed,Directed,Demand
11,2,Directed,Allow,First Time Surrogates uses Allow affordance towards Medical Staff regarding surrogacy and related regulations.
11,5,Directed,Discourage,First Time Surrogates uses Discourage affordance towards Marketing and International Liaisons regarding surrogacy and related regulations.
11,22,Directed,Demand,First Time Surrogates uses Demand affordance towards Family Law Code regarding surrogacy and related regulations.
11,24,Directed,Refuse,First Time Surrogates uses Refuse affordance towards Local Authorities regarding surrogacy and related regulations.
11,25,Directed,Discourage,First Time Surrogates uses Discourage affordance towards International Legal Frameworks regarding surrogacy and related regulations.
11,32,Directed,Encourage,First Time Surrogates uses Encourage affordance towards Single Parent regarding surrogacy and related regulations.
11,36,Directed,Request,First Time Surrogates uses Request affordance towards New York Times regarding surrogacy and related regulations.
11,38,Directed,Request,First Time Surrogates uses Request affordance towards Al Jazeera regarding surrogacy and related regulations.
12,3,Directed,Demand,"NGOs monitor Legal Team practices, ensuring contracts align with ethical standards to protect surrogates."
12,4,Directed,Allow,"NGOs allow Administrative Staff to assist in collecting data on surrogate experiences, supporting advocacy reports."
12,5,Directed,Encourage,"NGOs encourage Marketing Team to include surrogate testimonials in promotional materials, emphasizing ethical transparency."
12,7,Directed,Allow,"NGOs partner with surrogate networks to provide training on rights and health, supporting surrogatesÕ informed consent."
12,16,Directed,Allow,"NGOs collaborate with Tourism Agencies to create ethical travel guidelines for surrogacy clients, ensuring responsible practices. / NGOs collaborate with Tourism Agencies to create resources for ethically responsible surrogacy tourism."
12,17,Directed,Encourage,"NGOs support IVF Travel by advising on ethical travel practices for surrogates, ensuring dignity and respect in travel logistics."
12,17,Directed,Request,"NGOs request IVF Travel support ethical travel arrangements, ensuring surrogate comfort and security."
12,22,Directed,Encourage,"NGOs advocate for Family Law Code updates, emphasizing surrogate and child rights in the context of IVF surrogacy."
12,22,Directed,Request,"NGOs recommend that Family Law Code enhance protections for surrogates, particularly regarding health and consent in IVF-based surrogacy."
12,25,Directed,Demand,"NGOs demand UNCRC provide clear child welfare guidelines for surrogate-born children, particularly in international surrogacy cases."
12,26,Directed,Encourage,"NGOs support media by providing data on surrogate experiences, contributing to comprehensive surrogacy coverage."
12,26,Directed,Request,"NGOs request media focus on surrogate rights, supporting efforts to combat exploitation in fertility tourism."
12,29,Directed,Encourage,"NGOs encourage intended parents to select clinics that follow ethical practices, supporting responsible family-building."
12,33,Directed,Demand,"NGOs demand families of surrogates offer post-contract support to surrogates, reinforcing family care."
12,39,Directed,Demand,"NGOs monitor IVF technology to ensure it aligns with ethical standards in health and surrogate safety. / NGOs monitor IVF technology for compliance with health and ethical standards, ensuring surrogate safety and welfare."
12,39,Directed,Discourage,"NGOs critique IVF technology risks, raising concerns about potential exploitation of economically vulnerable surrogates."
12,39,Directed,Encourage,NGOs support IVF as part of surrogacy but advocate for ethical oversight to ensure surrogate health is prioritized.
13,2,Directed,Encourage,La Strada Ukraine uses Encourage affordance towards Medical Staff regarding surrogacy and related regulations.
13,5,Directed,Refuse,La Strada Ukraine uses Refuse affordance towards Marketing and International Liaisons regarding surrogacy and related regulations.
13,9,Directed,Request,La Strada Ukraine uses Request affordance towards Conflict Resilient Surrogates regarding surrogacy and related regulations.
13,19,Directed,Allow,La Strada Ukraine uses Allow affordance towards Egg Donor & Surrogacy Institute regarding surrogacy and related regulations.
13,20,Directed,Allow,La Strada Ukraine uses Allow affordance towards Ukrainian Legal Frameworks regarding surrogacy and related regulations.
13,26,Directed,Demand,La Strada Ukraine uses Demand affordance towards UNCRC regarding surrogacy and related regulations.
13,26,Directed,Discourage,La Strada Ukraine uses Discourage affordance towards UNCRC regarding surrogacy and related regulations.
13,38,Directed,Discourage,La Strada Ukraine uses Discourage affordance towards Al Jazeera regarding surrogacy and related regulations.
14,1,Directed,Demand,"Human Rights Watch demands BioTexCom provide data on surrogate health impacts, increasing transparency in medical practices."
14,3,Directed,Discourage,"Human Rights Watch critiques Legal TeamÕs contract structures, highlighting areas where surrogate rights could be strengthened."
14,4,Directed,Demand,Human Rights Watch monitors Administrative Staff procedures to ensure that surrogate records are handled ethically.
14,5,Directed,Demand,Human Rights Watch demands Marketing Team reduce exploitative language in surrogate-related promotions.
14,5,Directed,Request,"Human Rights Watch requests Marketing avoid exploitative language in surrogacy promotions, advocating for ethical communication."
14,7,Directed,Demand,Human Rights Watch demands surrogate network establish a grievance system for surrogates to report mistreatment.
14,12,Directed,Allow,"Human Rights Watch partners with NGOs to address ethical surrogacy concerns, combining resources for effective advocacy."
14,16,Directed,Demand,"Human Rights Watch demands Tourism Agencies promote only ethically certified IVF clinics, ensuring client awareness."
14,17,Directed,Demand,"Human Rights Watch monitors IVF Travel practices, ensuring no exploitation or misinformation in surrogacy travel logistics."
14,19,Directed,Demand,"Human Rights Watch monitors Egg Donor & Surrogacy Institute practices, ensuring ethical handling of egg donation processes. / Human Rights Watch demands Egg Donor & Surrogacy Institute follow ethical guidelines for all reproductive services."
14,22,Directed,Request,"Human Rights Watch lobbies Family Law Code to strengthen legal protections for surrogates, addressing gaps in existing laws."
14,25,Directed,Encourage,"Human Rights Watch advocates for UNCRCÕs involvement in protecting children born via surrogacy, addressing ethical concerns."
14,26,Directed,Encourage,Human Rights Watch encourages media to investigate the impact of IVF technology on surrogate health.
14,27,Directed,Request,Human Rights Watch requests ECHR investigate potential human rights issues related to IVF technology in surrogacy.
14,29,Directed,Encourage,"Human Rights Watch advocates for intended parents to prioritize surrogate rights when entering contracts, fostering ethical relationships."
14,33,Directed,Allow,"Human Rights Watch allows families of surrogates to share perspectives in advocacy reports, adding depth to ethical discussions."
14,35,Directed,Allow,"Human Rights Watch collaborates with media to highlight surrogacy challenges, raising awareness of ethical concerns."
14,39,Directed,Discourage,"Human Rights Watch critiques IVF use in surrogacy, questioning the ethical implications and surrogate health risks."
14,39,Directed,Request,"Human Rights Watch investigates IVF technologyÕs long-term effects on surrogate health and well-being, ensuring ethical standards."
15,26,Directed,Demand,"Stop Surrogacy Now demands media highlight alternatives to surrogacy, aiming to reduce reliance on IVF-based surrogacy."
16,1,Directed,Demand,Tourism Agencies demand BioTexCom guarantee language support for non-native clients throughout the IVF process.
16,4,Directed,Allow,Tourism Agencies coordinate with Administrative Staff to ensure that client schedules align with surrogate availability.
16,5,Directed,Encourage,Tourism Agencies encourage Marketing Team to highlight the safety measures in place for international clients.
16,5,Directed,Request,"Tourism Agencies request Marketing highlight the international accessibility of IVF services, attracting global clients."
16,7,Directed,Demand,Tourism Agencies demand surrogate networkÕs assistance in promoting cross-cultural understanding for international clients.
16,12,Directed,Allow,Tourism Agencies allow NGOs to inspect promotional content for ethical compliance in surrogacy tourism.
16,12,Directed,Request,Tourism Agencies request that NGOs provide guidance on ethically navigating cross-border surrogacy.
16,14,Directed,Request,Tourism Agencies request Human Rights Watch validate the ethical standards of clinics they promote internationally.
16,18,Directed,Allow,"Tourism Agencies collaborate with Tammuz Family to streamline IVF travel logistics for clients, ensuring smooth arrangements."
16,18,Directed,Encourage,"Tourism Agencies encourage Tammuz Family to integrate cultural sensitivity training for staff, enhancing international client relations."
16,20,Directed,Allow,"Tourism Agencies permit Local Authorities to review travel arrangements, ensuring compliance with local laws."
16,22,Directed,Allow,"Tourism Agencies allow Family Law Code to review surrogacy travel policies, ensuring regulatory compliance."
16,25,Directed,Allow,"Tourism Agencies allow UNCRC to audit promotional materials, ensuring alignment with child welfare policies."
16,26,Directed,Allow,"Tourism Agencies allow media access to client testimonials, helping raise awareness about the experiences in IVF surrogacy."
16,27,Directed,Request,"Tourism Agencies request ECHR guidelines for cross-border surrogacy practices, ensuring legal compliance for clients."
16,33,Directed,Allow,"Tourism Agencies allow surrogate families to accompany surrogates in international travel when possible, acknowledging family support importance."
16,35,Directed,Encourage,"Tourism Agencies support media efforts to highlight ethical surrogacy options, promoting responsible surrogacy tourism."
16,39,Directed,Demand,"Tourism Agencies demand IVF clinics provide multilingual support for international clients, ensuring seamless communication."
16,39,Directed,Encourage,"Tourism Agencies encourage IVF use in their marketing to attract international clients, promoting it as an effective fertility solution. / Tourism Agencies emphasize the role of IVF technology in successful family-building, marketing it as a key feature in fertility tourism. / Tourism Agencies promote IVF technology as a transformative tool for family creation, boosting interest in fertility tourism."
17,3,Directed,Demand,IVF Travel demands Legal Team clarify international surrogate travel rights in contracts.
17,5,Directed,Encourage,"IVF Travel assists Marketing Team by promoting travel options, emphasizing the clinicÕs accessibility to international clients."
17,7,Directed,Allow,"IVF Travel coordinates with surrogate network to ensure smooth travel arrangements for surrogates, minimizing logistical challenges."
17,8,Directed,Encourage,"IVF Travel encourages experienced surrogates to share travel insights, helping improve travel arrangements for others. / IVF Travel supports experienced surrogates by providing tailored travel accommodations, minimizing travel stress."
17,12,Directed,Allow,"IVF Travel collaborates with NGOs to establish ethical travel guidelines for surrogates, ensuring their comfort and dignity."
17,14,Directed,Encourage,"IVF Travel supports Human Rights Watch by adhering to ethical travel guidelines, promoting responsible surrogacy tourism. / IVF Travel supports Human Rights Watch by following best practices in managing surrogate travel logistics."
17,22,Directed,Allow,"IVF Travel permits Family Law Code to influence their procedures, ensuring compliance with travel documentation standards."
17,22,Directed,Demand,"IVF Travel complies with Family Law Code requirements to provide legal travel documentation for surrogates, ensuring smooth cross-border procedures."
17,29,Directed,Encourage,"IVF Travel promotes intended parents network services by offering comprehensive travel packages, emphasizing ethical practices."
17,33,Directed,Encourage,"IVF Travel facilitates family visits during the surrogacy process, enhancing emotional support for surrogates."
17,35,Directed,Allow,"IVF Travel collaborates with media to provide transparency on surrogate travel arrangements, ensuring accountability."
17,39,Directed,Encourage,"IVF Travel facilitates transportation for IVF treatments, managing travel logistics for clients and surrogates. / IVF Travel promotes IVF technology advancements to clients, emphasizing safety and success rates in surrogacy arrangements."
18,3,Directed,Request,Tammuz Family suggests Legal Team develop culturally sensitive contracts for international surrogacy clients.
18,4,Directed,Encourage,"Tammuz Family encourages Administrative Staff to manage client documents securely, promoting professionalism."
18,5,Directed,Encourage,Tammuz Family supports Marketing in creating culturally inclusive advertisements for international clients. / Tammuz Family encourages Marketing Team to adopt culturally sensitive language in international IVF promotions.
18,7,Directed,Encourage,"Tammuz Family encourages surrogate networks to participate actively, supporting diverse client demographics. / Tammuz Family supports surrogate network by providing resources for advocacy, promoting surrogatesÕ legal awareness."
18,7,Directed,Request,"Tammuz Family requests surrogate network provide input on improving client-surrogate relationships, fostering mutual respect."
18,12,Directed,Allow,"Tammuz Family collaborates with NGOs to promote ethical surrogacy practices, aligning with international standards."
18,14,Directed,Allow,Tammuz Family partners with Human Rights Watch to ensure their surrogacy practices meet ethical standards.
18,14,Directed,Request,Tammuz Family requests Human Rights Watch provide ethical certifications for recommended clinics.
18,16,Directed,Allow,Tammuz Family coordinates with Tourism Agencies to create packages for international clients seeking surrogacy services.
18,21,Directed,Allow,"Tammuz Family consults Health Ministry on best practices for surrogate health, promoting safe international surrogacy."
18,22,Directed,Request,"Tammuz Family recommends Family Law Code expand protections for surrogate contracts, enhancing surrogate rights."
18,25,Directed,Encourage,"Tammuz Family supports UNCRCÕs guidelines on ethical surrogacy, adapting their services to align with child welfare standards."
18,26,Directed,Allow,"Tammuz Family allows media outlets to feature client stories, enhancing transparency and visibility of surrogacy options."
18,26,Directed,Encourage,"Tammuz Family encourages media to share successful surrogacy outcomes, aiming to improve public perception. / Tammuz Family highlights positive media coverage about surrogacy, reinforcing the narrative of ethical practices within the industry."
18,27,Directed,Request,"Tammuz Family recommends ECHR guidelines be simplified for intended parents, aiding in understanding of international surrogacy laws."
18,33,Directed,Request,"Tammuz Family requests families of surrogates provide emotional support, recognizing the psychological demands of surrogacy."
